King Daffy,skill_kings_capital_1,King's Capital 1,"Deal <OFF>[110%] damage<> to target enemy, with an additional <OFF>[10%] damage<> for each Buff on this toon (up to +100% damage). Then remove all Buffs from this toon.",On Tap,2,None
King Daffy,skill_kings_capital_2,King's Capital 2,"Deal <OFF>[120%] damage<> to target enemy, with an additional <OFF>[10%] damage<> for each Buff on this toon (up to +100% damage). Then remove all Buffs from this toon.",On Tap,2,None
King Daffy,skill_kings_capital_3,King's Capital 3,"Deal <OFF>[130%] damage<> to target enemy, with an additional <OFF>[10%] damage<> for each Buff on this toon (up to +100% damage). Then remove all Buffs from this toon.",On Tap,2,None
King Daffy,skill_kings_capital_4,King's Capital 4,"Deal <OFF>[140%] damage<> to target enemy, with an additional <OFF>[10%] damage<> for each Buff on this toon (up to +100% damage). Then remove all Buffs from this toon.",On Tap,2,None
King Daffy,skill_kings_capital_5,King's Capital 5,"Deal <OFF>[150%] damage<> to target enemy, with an additional <OFF>[10%] damage<> for each Buff on this toon (up to +100% damage). Then remove all Buffs from this toon.",On Tap,2,None
Demolitionist Sam,skill_long_fuse_1,Long Fuse,"At the end of each of this toon's turns, unless Incapacitated, place a <SP>Demolition Charge<> on an enemy without a Demolition Charge. <SP>Demolition Charges explode after 10 turns<>, dealing <OFF>[65%] damage<> for each Demolition Charge on the enemy team. Enemies that become Frozen have their <DB>timers reduced by 2 turns<>.",Passive,None,None
Captain Bligh,skill_powder_keg_1,Powder Keg 1,"Deal <OFF> [65%] damage to target enemy, granting <OFF> Attack Up<> to all Attacker allies for 2 turns.",On Tap,None,None
Captain Bligh,skill_powder_keg_2,Powder Keg 2,"Deal <OFF> [70%] damage to target enemy, granting <OFF> Attack Up<> to all Attacker allies for 2 turns.",On Tap,None,None
Captain Bligh,skill_powder_keg_3,Powder Keg 3,"Deal <OFF> [75%] damage to target enemy, granting <OFF> Attack Up<> to all Attacker allies for 2 turns.",On Tap,None,None
Captain Bligh,skill_powder_keg_4,Powder Keg 4,"Deal <OFF> [80%] damage to target enemy, granting <OFF> Attack Up<> to all Attacker allies for 2 turns.",On Tap,None,None
Captain Bligh,skill_powder_keg_5,Powder Keg 5,"Deal <OFF> [90%] damage to target enemy, granting <OFF> Attack Up<> to all Attacker allies for 2 turns.",On Tap,None,None
Captain Bligh,skill_batten_the_hatches_1,Batten the Hatches 1,"Gain <DEF>Taunt<> for 1 turn, granting all team members <DEF>1 Defense Up <> and <OFF>  1 Attack Up<> for 2 turns. Inflict all enemies with <DB> 1 Piercing Down<> for 1 turns.",On Tap,2,None
Captain Bligh,skill_batten_the_hatches_2,Batten the Hatches 2,"Gain <DEF>Taunt<> for 2 turns, granting all team members <DEF>1 Defense Up <> and <OFF>  1 Attack Up<> for 2 turns. Inflict all enemies with <DB> 1 Piercing Down<> for 2 turns.",On Tap,2,None
Captain Bligh,skill_batten_the_hatches_3,Batten the Hatches 3,"Gain <DEF>Taunt<> for 2 turns, granting all team members <DEF>2 Defense Up <> and <OFF>  1 Attack Up<> for 2 turns. Inflict all enemies with <DB> 1 Piercing Down<> for 2 turns.",On Tap,2,None
Captain Bligh,skill_batten_the_hatches_4,Batten the Hatches 4,"Gain <DEF>Taunt<> for 2 turns, granting all team members <DEF>2 Defense Up <> and <OFF>  2 Attack Up<> for 2 turns. Inflict all enemies with <DB> 1 Piercing Down<> for 2 turns.",On Tap,2,None
Captain Bligh,skill_batten_the_hatches_5,Batten the Hatches 5,"Gain <DEF>Taunt<> for 2 turns, granting all team members <DEF>3 Defense Up <> and <OFF>  2 Attack Up<> for 2 turns. Inflict all enemies with <DB> 3 Piercing Down<> for 2 turns.",On Tap,2,None
Captain Bligh,skill_look_sharp_man_1,"Look Sharp, Man 1","Once per turn, when this toon uses Powder Keg or Batten the Hatches, call a random ally to Assist against the target enemy for 75% of their Attack and 50% Lifesteal. Then, grant all allies that did not Assist 15% Turn Meter.",Passive,None,None
Captain Bligh,skill_look_sharp_man_2,"Look Sharp, Man 2","Once per turn, when this toon uses Powder Keg or Batten the Hatches, call a random ally to Assist against the target enemy for 80% of their Attack and 50% Lifesteal. Then, grant all allies that did not Assist 15% Turn Meter.",Passive,None,None
Captain Bligh,skill_look_sharp_man_3,"Look Sharp, Man 3","Once per turn, when this toon uses Powder Keg or Batten the Hatches, call a random ally to Assist against the target enemy for 85% of their Attack and 50% Lifesteal. Then, grant all allies that did not Assist 15% Turn Meter.",Passive,None,None
Captain Bligh,skill_look_sharp_man_4,"Look Sharp, Man 4","Once per turn, when this toon uses Powder Keg or Batten the Hatches, call a random ally to Assist against the target enemy for 90% of their Attack and 50% Lifesteal. Then, grant all allies that did not Assist 15% Turn Meter.",Passive,None,None
Captain Bligh,skill_look_sharp_man_5,"Look Sharp, Man 5","Once per turn, when this toon uses Powder Keg or Batten the Hatches, call a random ally to Assist against the target enemy for 100% of their Attack and 50% Lifesteal. Then, grant all allies that did not Assist 15% Turn Meter.",Passive,None,None
Captain Bligh,skill_british_resolve_1, British Resolve 1,"This toon is Immune to all Stat Downs. While this toon remains in battle, Defender allies have +25% Resistance to Defense Down, Attacker allies have +25% Resistance to Attack Down, and Support allies have +25% Resistance to Speed Down.",Passive,None,None
Captain Bligh,skill_british_resolve_2, British Resolve 2,"This toon is Immune to all Stat Downs. While this toon remains in battle, Defender allies have +30% Resistance to Defense Down, Attacker allies have +30% Resistance to Attack Down, and Support allies have +30% Resistance to Speed Down.",Passive,None,None
Captain Bligh,skill_british_resolve_3, British Resolve 3,"This toon is Immune to all Stat Downs. While this toon remains in battle, Defender allies have +35% Resistance to Defense Down, Attacker allies have +35% Resistance to Attack Down, and Support allies have +35% Resistance to Speed Down.",Passive,None,None
Captain Bligh,skill_british_resolve_4, British Resolve 4,"This toon is Immune to all Stat Downs. While this toon remains in battle, Defender allies have +40% Resistance to Defense Down, Attacker allies have +40% Resistance to Attack Down, and Support allies have +40% Resistance to Speed Down.",Passive,None,None
Captain Bligh,skill_british_resolve_5, British Resolve 5,"This toon is Immune to all Stat Downs. While this toon remains in battle, Defender allies have +50% Resistance to Defense Down, Attacker allies have +50% Resistance to Attack Down, and Support allies have +50% Resistance to Speed Down.",Passive,None,None
Captain Bligh,skill_this_is_mutiny_mr_christian_1,"This is Mutiny, Mr. Christian 1","Heal for 30% Max Health, granting all allies +50% Lifesteal and 50% Turn Meter. Then grant all team members 5 Attack Up.",On Tap,3,3
Captain Bligh,skill_this_is_mutiny_mr_christian_2,"This is Mutiny, Mr. Christian 2","Heal for 30% Max Health, granting all allies + 60% Lifesteal and  60% Turn Meter. Then grant all team members 5 Attack Up.",On Tap,3,3
Captain Bligh,skill_this_is_mutiny_mr_christian_3,"This is Mutiny, Mr. Christian 3","Heal for 30% Max Health, granting all allies +70% Lifesteal and 70% Turn Meter. Then grant all team members 5 Attack Up.",On Tap,3,3
Captain Bligh,skill_this_is_mutiny_mr_christian_4,"This is Mutiny, Mr. Christian 4","Heal for 30% Max Health, granting all allies +80% Lifesteal and 80% Turn Meter. Then grant all team members 5 Attack Up.",On Tap,3,3
Captain Bligh,skill_this_is_mutiny_mr_christian_5,"This is Mutiny, Mr. Christian 5","Heal for 30% Max Health, granting all allies +100% Lifesteal and 100% Turn Meter. Then grant all team members 5 Attack Up.",On Tap,3,3
Phantom Le Pew,skill_smellancholia_1,Smellancholia,"Deal 70% damage to target enemy, inflicting 2 Defense Down to the target and 2 Attack Down to enemies with Beloved. ",On Tap,0,None
Phantom Le Pew,skill_smellancholia_2,Smellancholia,"Deal 75% damage to target enemy, inflicting 2 Defense Down to the target and 2 Attack Down to enemies with Beloved. ",On Tap,0,None
Phantom Le Pew,skill_smellancholia_3,Smellancholia,"Deal 80% damage to target enemy, inflicting 2 Defense Down to the target and 2 Attack Down to enemies with Beloved. ",On Tap,0,None
Phantom Le Pew,skill_smellancholia_4,Smellancholia,"Deal 85% damage to target enemy, inflicting 2 Defense Down to the target and 2 Attack Down to enemies with Beloved. ",On Tap,0,None
Phantom Le Pew,skill_smellancholia_5,Smellancholia,"Deal 90% damage to target enemy, inflicting 2 Defense Down to the target and 2 Attack Down to enemies with Beloved. ",On Tap,0,None
Phantom Le Pew,skill_smellancholia_6,Smellancholia,"Deal 100% damage to target enemy, inflicting 2 Defense Down to the target and 2 Attack Down to enemies with Beloved. ",On Tap,0,None
Phantom Le Pew,skill_that_scent_which_calls_1,That Scent Which Calls,"At the end of any turn, if no enemy has Beloved, inflict Beloved for the rest of battle on the enemy with the highest Attack. While any toon has Beloved, gain Attack Up, Piercing Up, Critical Chance Up, and Critical Damage Up at the start of each of this toon's turns.",Passive,None,None
Phantom Le Pew,skill_spooky_mist_1,Spooky Mist,"Gain Hidden and 1 Critical Chance Up for 1 turns, granting all team members 1 Attack Up for 1 turns. Inflict 2 Speed Down for 2 Turns to enemies with Beloved. Gain 35% Turn Meter.",On Tap,2,None
Phantom Le Pew,skill_spooky_mist_2,Spooky Mist,"Gain Hidden and 1 Critical Chance Up for 1 turns, granting all team members 1-2 Attack Up for 2 turns. Inflict 2 Speed Down for 2 Turns to enemies with Beloved. Gain 35% Turn Meter.",On Tap,2,None
Phantom Le Pew,skill_spooky_mist_3,Spooky Mist,"Gain Hidden and 1 Critical Chance Up for 2 turns, granting all team members 1-2 Attack Up for 2 turns. Inflict 2 Speed Down for 2 Turns to enemies with Beloved. Gain 35% Turn Meter.",On Tap,2,None
Phantom Le Pew,skill_spooky_mist_4,Spooky Mist,"Gain Hidden and 1 Critical Chance Up for 2 turns, granting all team members 2 Attack Up for 2 turns. Inflict 2 Speed Down for 2 Turns to enemies with Beloved. Gain 35% Turn Meter.",On Tap,2,None
Phantom Le Pew,skill_spooky_mist_5,Spooky Mist,"Gain Hidden and 1-2 Critical Chance Up for 2 turns, granting all team members 2-3 Attack Up for 2 turns. Inflict 2 Speed Down for 2 Turns to enemies with Beloved. Gain 35% Turn Meter.",On Tap,2,None
